epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,13758.8,0.85037,0.09634,0.06196,0.59351,1.26326,0.97791,0.98265,0.99407,0.84075,0.98616,0.98155,0.99451,0.99372,0.67379,0.06372,0.0056,0.3715,1.22794,0.0005744,0.0005744,0.0005744
74,13944.9,0.84363,0.09507,0.05551,0.58258,1.26771,0.9805,0.98061,0.99415,0.84654,0.98456,0.98367,0.99444,0.99418,0.65867,0.04931,0.00374,0.35397,1.21325,0.0005546,0.0005546,0.0005546
75,14131.4,0.8299,0.09178,0.05602,0.57343,1.24822,0.98713,0.97835,0.99428,0.84413,0.98618,0.98309,0.9945,0.99419,0.65719,0.04727,0.00368,0.35913,1.21401,0.0005348,0.0005348,0.0005348
76,14317.3,0.82926,0.09322,0.05275,0.57939,1.24383,0.98166,0.98306,0.99428,0.85039,0.98572,0.98586,0.99459,0.99414,0.64175,0.05118,0.00496,0.34593,1.19634,0.000515,0.000515,0.000515
77,14503.6,0.81762,0.09219,0.0551,0.56738,1.24515,0.98214,0.98223,0.99438,0.8468,0.98618,0.98298,0.99454,0.9944,0.64923,0.04508,0.00424,0.3526,1.20606,0.0004952,0.0004952,0.0004952
78,14689.9,0.81057,0.09162,0.05243,0.56661,1.24523,0.9849,0.98673,0.99453,0.8465,0.98933,0.98571,0.99473,0.99456,0.6495,0.04552,0.00551,0.34903,1.20179,0.0004754,0.0004754,0.0004754
79,14876.5,0.80974,0.08184,0.04936,0.56548,1.24191,0.98389,0.98827,0.99458,0.85713,0.98981,0.99146,0.99479,0.99469,0.63043,0.04438,0.00378,0.3435,1.18519,0.0004556,0.0004556,0.0004556
80,15062.9,0.80619,0.08587,0.0548,0.56242,1.23404,0.98124,0.98757,0.99454,0.85703,0.99029,0.98816,0.9948,0.99443,0.63268,0.05006,0.00526,0.34166,1.18294,0.0004358,0.0004358,0.0004358
81,15248.8,0.81163,0.07949,0.04869,0.55913,1.23691,0.98273,0.98695,0.99434,0.85926,0.98603,0.98929,0.99465,0.99455,0.62777,0.04339,0.00517,0.34225,1.18146,0.000416,0.000416,0.000416
82,15434.6,0.80296,0.08276,0.04883,0.55068,1.24063,0.98541,0.9898,0.99468,0.86157,0.99387,0.99331,0.99494,0.99489,0.63239,0.0433,0.00331,0.33886,1.18093,0.0003962,0.0003962,0.0003962
83,15620.8,0.80624,0.07918,0.04903,0.54789,1.24356,0.98584,0.98265,0.99456,0.86186,0.9913,0.98871,0.99483,0.99466,0.62323,0.04582,0.00447,0.33573,1.17512,0.0003764,0.0003764,0.0003764
84,15807.6,0.793,0.08849,0.05021,0.55029,1.22014,0.98277,0.98934,0.99448,0.86356,0.98782,0.9927,0.99477,0.99457,0.62023,0.04437,0.00423,0.33577,1.17425,0.0003566,0.0003566,0.0003566
85,15994.2,0.78147,0.07844,0.05494,0.53088,1.2152,0.98268,0.98827,0.99438,0.86959,0.99014,0.98724,0.99473,0.99466,0.60244,0.04089,0.00352,0.33205,1.15398,0.0003368,0.0003368,0.0003368
86,16180.3,0.78962,0.0868,0.04818,0.54405,1.22404,0.98784,0.9898,0.9947,0.87034,0.99012,0.99235,0.99483,0.99474,0.60133,0.04407,0.00368,0.32969,1.15876,0.000317,0.000317,0.000317
87,16367,0.78474,0.08197,0.04835,0.54379,1.23497,0.98737,0.99082,0.99475,0.87264,0.99182,0.98983,0.99481,0.99469,0.58814,0.04255,0.00467,0.32036,1.14177,0.0002972,0.0002972,0.0002972
